Wavelength,Moon(W/m2/nm),Moon(uW/m2),,,
695,1.84E-06,1.84E+00,,,
696,1.87E-06,1.87E+00,,,
697,1.88E-06,1.88E+00,,,
698,1.88E-06,1.88E+00,,,
699,1.86E-06,1.86E+00,,,
700,1.84E-06,1.84E+00,,,
701,1.84E-06,1.84E+00,,,
702,1.84E-06,1.84E+00,,,
703,1.87E-06,1.87E+00,,,
704,1.88E-06,1.88E+00,,,
705,1.88E-06,1.88E+00,,,
706,1.88E-06,1.88E+00,,,
707,1.88E-06,1.88E+00,,,
708,1.89E-06,1.89E+00,,,
709,1.89E-06,1.89E+00,,,
710,1.88E-06,1.88E+00,,,
711,1.88E-06,1.88E+00,,,
712,1.88E-06,1.88E+00,,,
713,1.87E-06,1.87E+00,,,
714,1.84E-06,1.84E+00,,,
715,1.79E-06,1.79E+00,,,
716,1.69E-06,1.69E+00,,,
717,1.58E-06,1.58E+00,,,
718,1.50E-06,1.50E+00,,,
719,1.48E-06,1.48E+00,,,
720,1.53E-06,1.53E+00,,,
721,1.60E-06,1.60E+00,,,
722,1.63E-06,1.63E+00,,,
723,1.60E-06,1.60E+00,,,
724,1.57E-06,1.57E+00,,,
725,1.55E-06,1.55E+00,,,
726,1.56E-06,1.56E+00,,,
727,1.57E-06,1.57E+00,,,
728,1.57E-06,1.57E+00,,,
729,1.58E-06,1.58E+00,,,
730,1.60E-06,1.60E+00,,,
731,1.64E-06,1.64E+00,,,
732,1.69E-06,1.69E+00,,,
733,1.74E-06,1.74E+00,,,
734,1.75E-06,1.75E+00,,,
735,1.75E-06,1.75E+00,,,
736,1.75E-06,1.75E+00,,,
737,1.75E-06,1.75E+00,,,
738,1.75E-06,1.75E+00,,,
739,1.75E-06,1.75E+00,,,
740,1.75E-06,1.75E+00,,,
741,1.76E-06,1.76E+00,,,
742,1.77E-06,1.77E+00,,,
743,1.77E-06,1.77E+00,,,
744,1.78E-06,1.78E+00,,,
745,1.78E-06,1.78E+00,,,
746,1.78E-06,1.78E+00,,,
747,1.78E-06,1.78E+00,,,
748,1.78E-06,1.78E+00,,,
749,1.77E-06,1.77E+00,,,
750,1.76E-06,1.76E+00,,,
