Name,Lon,Lat,Source,M2_amp,M2_phs,S2_amp,S2_phs,N2_amp,N2_phs,K2_amp,K2_phs,K1_amp,K1_phs,O1_amp,O1_phs,P1_amp,P1_phs,Q1_amp,Q1_phs
Shimotsu,135.1307795,34.1149616,JMA,0.45,275.873,0.214,298.943,NaN,NaN,NaN,NaN,0.238,57.107,0.181,35.777,NaN,NaN,NaN,NaN
Shinminato,137.1147787,36.7820613,JMA,0.058,166.647,0.021,193.787,NaN,NaN,NaN,NaN,0.052,209.743,0.052,182.903,NaN,NaN,NaN,NaN
Shiraoi,141.3192419,42.5166828,JMA,0.312,182.437,0.145,221.067,NaN,NaN,NaN,NaN,0.233,24.663,0.188,8.133,NaN,NaN,NaN,NaN
Shonanko,139.4788377,35.3044568,JMA,0.36,230.263,0.17,257.653,NaN,NaN,NaN,NaN,0.232,39.337,0.183,19.087,NaN,NaN,NaN,NaN
Soma,140.9610451,37.8322653,JMA,0.331,195.777,0.154,230.617,NaN,NaN,NaN,NaN,0.244,30.883,0.197,14.373,NaN,NaN,NaN,NaN
Sunatsu,130.8851676,33.8930716,JMA,0.407,11.063,0.197,38.583,NaN,NaN,NaN,NaN,0.108,140.637,0.109,125.137,NaN,NaN,NaN,NaN
Susa,131.5989057,34.6236219,JMA,0.124,65.27,0.063,81.88,NaN,NaN,NaN,NaN,0.091,205.75,0.105,178.49,NaN,NaN,NaN,NaN
Susaki,133.2891853,33.3847305,JMA,0.495,265.33,0.219,289.86,NaN,NaN,NaN,NaN,0.215,55.8,0.168,35.8,NaN,NaN,NaN,NaN
Suttsu,140.2338373,42.797906,JMA,0.044,195.633,0.022,229.833,NaN,NaN,NaN,NaN,0.042,206.767,0.039,194.267,NaN,NaN,NaN,NaN
Tachibana,134.6360796,33.8633174,JMA,0.443,264.443,0.21,289.943,NaN,NaN,NaN,NaN,0.223,57.677,0.169,36.857,NaN,NaN,NaN,NaN
Tadotsu,133.7414813,34.2760104,JMA,1.076,59.94,0.392,93.6,NaN,NaN,NaN,NaN,0.329,102.27,0.242,78.32,NaN,NaN,NaN,NaN
Tago,138.759779,34.8050128,JMA,0.404,248.707,0.189,274.647,NaN,NaN,NaN,NaN,0.208,48.763,0.162,29.563,NaN,NaN,NaN,NaN
Tajiri,134.3198427,35.5951146,JMA,0.061,157.297,0.022,174.697,NaN,NaN,NaN,NaN,0.051,207.873,0.052,179.733,NaN,NaN,NaN,NaN
Takamatsu,134.0519097,34.3610804,JMA,0.664,57.13,0.21,80.6,NaN,NaN,NaN,NaN,0.31,95.87,0.228,71.22,NaN,NaN,NaN,NaN
Tanegashima,130.9637541,30.4616686,JMA,0.549,275.187,0.239,301.457,NaN,NaN,NaN,NaN,0.216,59.513,0.164,40.923,NaN,NaN,NaN,NaN
