2018/1/25 1,560
2018/1/25 2,570
2018/1/25 3,650
2018/1/25 4,710
2018/1/25 5,880
2018/1/25 6,940
2018/1/25 7,940
2018/1/25 8,940
2018/1/25 9,820
2018/1/25 10,660
2018/1/25 11,500
2018/1/25 12,370
2018/1/25 13,340
2018/1/25 14,380
2018/1/25 15,420
2018/1/25 16,580
2018/1/25 17,720
2018/1/25 18,820
2018/1/25 19,960
2018/1/25 20,990
2018/1/25 21,960
2018/1/25 22,930
2018/1/25 23,810
2018/1/26 0,690
2018/1/26 1,610
2018/1/26 2,530
2018/1/26 3,550
2018/1/26 4,610
2018/1/26 5,690
2018/1/26 6,820
2018/1/26 7,880
2018/1/26 8,900
2018/1/26 9,870
2018/1/26 10,790
2018/1/26 11,640
2018/1/26 12,500
2018/1/26 13,390
2018/1/26 14,360
2018/1/26 15,370
2018/1/26 16,450
2018/1/26 17,570
2018/1/26 18,740
2018/1/26 19,910
2018/1/26 20,1020
2018/1/26 21,1090
2018/1/26 22,1070
2018/1/26 23,990
2018/1/27 0,890
2018/1/27 1,740
2018/1/27 2,570
2018/1/27 3,500
2018/1/27 4,460
2018/1/27 5,500
2018/1/27 6,580
2018/1/27 7,670
2018/1/27 8,790
2018/1/27 9,840
2018/1/27 10,820
2018/1/27 11,760
2018/1/27 12,640
2018/1/27 13,500
2018/1/27 14,390
2018/1/27 15,300
2018/1/27 16,330
2018/1/27 17,430
2018/1/27 18,570
2018/1/27 19,790
2018/1/27 20,980
2018/1/27 21,1120
2018/1/27 22,1220
2018/1/27 23,1180
2018/1/28 0,1090
2018/1/28 1,940
2018/1/28 2,740
2018/1/28 3,560
2018/1/28 4,430
2018/1/28 5,370
2018/1/28 6,410
2018/1/28 7,500
2018/1/28 8,650
2018/1/28 9,770
2018/1/28 10,850
2018/1/28 11,850
2018/1/28 12,790
2018/1/28 13,640
2018/1/28 14,520
2018/1/28 15,360
2018/1/28 16,290
2018/1/28 17,310
2018/1/28 18,430
2018/1/28 19,620
2018/1/28 20,850
2018/1/28 21,1080
2018/1/28 22,1260
2018/1/28 23,1320
2018/1/29 0,1260
2018/1/29 1,1190
2018/1/29 2,960
2018/1/29 3,720
2018/1/29 4,500
2018/1/29 5,360
2018/1/29 6,320
2018/1/29 7,350
2018/1/29 8,490
2018/1/29 9,630
2018/1/29 10,810
2018/1/29 11,900
2018/1/29 12,920
2018/1/29 13,840
2018/1/29 14,680
2018/1/29 15,520
2018/1/29 16,350
2018/1/29 17,310
2018/1/29 18,310
2018/1/29 19,430
2018/1/29 20,670
2018/1/29 21,950
2018/1/29 22,1210
2018/1/29 23,1360
2018/1/30 0,1450
2018/1/30 1,1400
2018/1/30 2,1200
2018/1/30 3,1000
2018/1/30 4,710
2018/1/30 5,460
2018/1/30 6,290
2018/1/30 7,250
2018/1/30 8,290
2018/1/30 9,480
2018/1/30 10,670
2018/1/30 11,870
2018/1/30 12,960
2018/1/30 13,970
2018/1/30 14,870
2018/1/30 15,670
2018/1/30 16,470
2018/1/30 17,270
2018/1/30 18,210
2018/1/30 19,270
2018/1/30 20,420
2018/1/30 21,690
2018/1/30 22,1020
2018/1/30 23,1270
2018/1/31 0,1530
2018/1/31 1,1550
2018/1/31 2,1450
2018/1/31 3,1230
2018/1/31 4,940
2018/1/31 5,610
2018/1/31 6,350
2018/1/31 7,180
2018/1/31 8,140
2018/1/31 9,270
2018/1/31 10,410
2018/1/31 11,730
2018/1/31 12,930
2018/1/31 13,1020
2018/1/31 14,1010
2018/1/31 15,880
2018/1/31 16,680
2018/1/31 17,450
2018/1/31 18,220
2018/1/31 19,190
2018/1/31 20,250
2018/1/31 21,450
2018/1/31 22,740
2018/1/31 23,1060
2018/2/1 0,1350
2018/2/1 1,1510
2018/2/1 2,1530
2018/2/1 3,1430
2018/2/1 4,1220
2018/2/1 5,870
2018/2/1 6,560
2018/2/1 7,270
2018/2/1 8,150
2018/2/1 9,190
2018/2/1 10,280
2018/2/1 11,570
2018/2/1 12,800
2018/2/1 13,1020
2018/2/1 14,1130
2018/2/1 15,1060
2018/2/1 16,910
2018/2/1 17,680
2018/2/1 18,440
2018/2/1 19,250
2018/2/1 20,200
2018/2/1 21,290
2018/2/1 22,480
2018/2/1 23,840
2018/2/2 0,1150
2018/2/2 1,1440
2018/2/2 2,1610
2018/2/2 3,1590
2018/2/2 4,1450
2018/2/2 5,1170
2018/2/2 6,830
2018/2/2 7,520
2018/2/2 8,250
2018/2/2 9,130
2018/2/2 10,200
2018/2/2 11,360
2018/2/2 12,620
2018/2/2 13,890
2018/2/2 14,1090
2018/2/2 15,1150
2018/2/2 16,1100
2018/2/2 17,950
2018/2/2 18,680
2018/2/2 19,450
2018/2/2 20,260
2018/2/2 21,210
2018/2/2 22,330
2018/2/2 23,570
2018/2/3 0,880
2018/2/3 1,1220
2018/2/3 2,1480
2018/2/3 3,1580
2018/2/3 4,1540
2018/2/3 5,1410
2018/2/3 6,1070
2018/2/3 7,750
2018/2/3 8,430
2018/2/3 9,220
2018/2/3 10,150
2018/2/3 11,250
2018/2/3 12,430
2018/2/3 13,730
2018/2/3 14,970
2018/2/3 15,1160
2018/2/3 16,1200
2018/2/3 17,1100
2018/2/3 18,920
2018/2/3 19,690
2018/2/3 20,470
2018/2/3 21,290
2018/2/3 22,270
2018/2/3 23,390
2018/2/4 0,630
2018/2/4 1,910
2018/2/4 2,1220
2018/2/4 3,1430
2018/2/4 4,1500
2018/2/4 5,1450
2018/2/4 6,1250
2018/2/4 7,960
2018/2/4 8,650
2018/2/4 9,400
2018/2/4 10,230
2018/2/4 11,190
2018/2/4 12,330
2018/2/4 13,520
2018/2/4 14,790
2018/2/4 15,1000
2018/2/4 16,1130
2018/2/4 17,1160
2018/2/4 18,1070
2018/2/4 19,900
2018/2/4 20,670
2018/2/4 21,470
2018/2/4 22,350
2018/2/4 23,340
2018/2/5 0,460
2018/2/5 1,670
2018/2/5 2,940
2018/2/5 3,1160
2018/2/5 4,1320
2018/2/5 5,1360
2018/2/5 6,1260
2018/2/5 7,1070
2018/2/5 8,810
2018/2/5 9,560
2018/2/5 10,350
2018/2/5 11,240
2018/2/5 12,270
2018/2/5 13,370
2018/2/5 14,560
2018/2/5 15,810
2018/2/5 16,990
2018/2/5 17,1120
2018/2/5 18,1120
2018/2/5 19,1040
2018/2/5 20,870
2018/2/5 21,680
2018/2/5 22,510
2018/2/5 23,410
2018/2/6 0,430
2018/2/6 1,520
2018/2/6 2,740
2018/2/6 3,920
2018/2/6 4,1110
2018/2/6 5,1190
2018/2/6 6,1210
2018/2/6 7,1120
2018/2/6 8,960
2018/2/6 9,760
2018/2/6 10,530
2018/2/6 11,390
2018/2/6 12,340
2018/2/6 13,360
2018/2/6 14,490
2018/2/6 15,640
2018/2/6 16,840
2018/2/6 17,990
2018/2/6 18,1110
2018/2/6 19,1120
2018/2/6 20,990
2018/2/6 21,900
2018/2/6 22,750
2018/2/6 23,580
2018/2/7 0,490
2018/2/7 1,520
2018/2/7 2,570
2018/2/7 3,750
2018/2/7 4,890
2018/2/7 5,1010
2018/2/7 6,1060
2018/2/7 7,1070
2018/2/7 8,1000
2018/2/7 9,860
2018/2/7 10,720
