Rural Location: Cherry Springs State Park (41.6646N,77.8125W)
Wavelength(nm),Elev=0.0(log(W/m2/nm)),Elev=-1.0(log(W/m2/nm)),Elev=-2.0(log(W/m2/nm)),Elev=-3.0(log(W/m2/nm)),Elev=-4.0(log(W/m2/nm)),Elev=-5.0(log(W/m2/nm)),Elev=-6.0(log(W/m2/nm)),Elev=-7.0(log(W/m2/nm)),Elev=-8.0(log(W/m2/nm)),Elev=-9.0(log(W/m2/nm)),Elev=-10.0(log(W/m2/nm)),Elev=-11.0(log(W/m2/nm)),Elev=-12.0(log(W/m2/nm)),Elev=-13.0(log(W/m2/nm)),Elev=-14.0(log(W/m2/nm)),Elev=-15.0(log(W/m2/nm)),Elev=-16.0(log(W/m2/nm)),Elev=-17.0(log(W/m2/nm)),Elev=-18.0(log(W/m2/nm))
330,-2.145,-2.304,-2.481,-2.699,-2.913,-3.212,-3.520,-3.863,-4.326,-4.795,-5.382,-5.903,-6.342,-6.844,-7.232,-7.663,-7.934,-8.047,-8.032
331,-2.102,-2.266,-2.440,-2.657,-2.871,-3.165,-3.477,-3.821,-4.285,-4.752,-5.337,-5.848,-6.297,-6.807,-7.192,-7.626,-7.945,-8.048,-8.034
332,-2.075,-2.236,-2.409,-2.623,-2.835,-3.131,-3.445,-3.790,-4.254,-4.719,-5.300,-5.814,-6.261,-6.778,-7.152,-7.599,-7.956,-8.078,-8.103
333,-2.056,-2.211,-2.381,-2.598,-2.808,-3.106,-3.418,-3.763,-4.228,-4.692,-5.272,-5.793,-6.231,-6.742,-7.109,-7.557,-7.930,-8.026,-8.098
334,-2.042,-2.197,-2.364,-2.581,-2.794,-3.085,-3.399,-3.746,-4.210,-4.674,-5.252,-5.768,-6.201,-6.705,-7.063,-7.498,-7.872,-7.970,-8.061
335,-2.025,-2.178,-2.341,-2.556,-2.770,-3.061,-3.377,-3.723,-4.185,-4.650,-5.225,-5.731,-6.161,-6.657,-7.028,-7.461,-7.825,-7.940,-8.058
336,-2.008,-2.159,-2.321,-2.535,-2.747,-3.039,-3.354,-3.700,-4.162,-4.623,-5.199,-5.704,-6.135,-6.619,-6.996,-7.433,-7.790,-7.908,-8.028
337,-1.989,-2.137,-2.304,-2.517,-2.723,-3.016,-3.328,-3.678,-4.140,-4.599,-5.171,-5.678,-6.107,-6.591,-6.969,-7.396,-7.744,-7.885,-8.003
338,-1.968,-2.115,-2.283,-2.493,-2.699,-2.991,-3.304,-3.655,-4.116,-4.576,-5.145,-5.651,-6.077,-6.569,-6.945,-7.368,-7.702,-7.842,-7.931
339,-1.950,-2.097,-2.262,-2.471,-2.679,-2.970,-3.284,-3.632,-4.095,-4.556,-5.124,-5.629,-6.054,-6.549,-6.924,-7.351,-7.692,-7.842,-7.926
340,-1.952,-2.094,-2.259,-2.467,-2.673,-2.965,-3.276,-3.626,-4.091,-4.552,-5.118,-5.624,-6.049,-6.538,-6.915,-7.350,-7.679,-7.821,-7.922
341,-1.966,-2.110,-2.273,-2.480,-2.685,-2.978,-3.287,-3.640,-4.105,-4.563,-5.130,-5.631,-6.056,-6.540,-6.920,-7.354,-7.698,-7.820,-7.935
342,-1.969,-2.115,-2.278,-2.484,-2.688,-2.980,-3.291,-3.642,-4.108,-4.565,-5.131,-5.630,-6.053,-6.538,-6.921,-7.360,-7.716,-7.848,-7.995
343,-1.955,-2.099,-2.264,-2.469,-2.674,-2.964,-3.276,-3.626,-4.091,-4.549,-5.113,-5.612,-6.033,-6.522,-6.901,-7.335,-7.705,-7.838,-7.998
344,-1.942,-2.088,-2.250,-2.455,-2.662,-2.950,-3.262,-3.613,-4.078,-4.535,-5.100,-5.597,-6.016,-6.506,-6.883,-7.313,-7.675,-7.827,-7.989
345,-1.938,-2.084,-2.243,-2.449,-2.657,-2.944,-3.255,-3.606,-4.074,-4.530,-5.095,-5.591,-6.011,-6.499,-6.875,-7.303,-7.664,-7.853,-8.011
346,-1.934,-2.078,-2.238,-2.445,-2.651,-2.936,-3.249,-3.599,-4.066,-4.523,-5.087,-5.583,-6.002,-6.490,-6.864,-7.285,-7.650,-7.842,-7.993
347,-1.927,-2.071,-2.233,-2.439,-2.644,-2.928,-3.241,-3.593,-4.058,-4.515,-5.078,-5.572,-5.994,-6.485,-6.860,-7.277,-7.639,-7.873,-7.974
348,-1.925,-2.068,-2.229,-2.436,-2.640,-2.925,-3.238,-3.591,-4.055,-4.513,-5.075,-5.568,-5.993,-6.483,-6.855,-7.268,-7.620,-7.860,-7.932
349,-1.915,-2.057,-2.217,-2.423,-2.629,-2.915,-3.227,-3.581,-4.045,-4.502,-5.065,-5.558,-5.982,-6.474,-6.845,-7.260,-7.619,-7.868,-7.940
350,-1.907,-2.047,-2.208,-2.414,-2.620,-2.905,-3.217,-3.571,-4.037,-4.494,-5.056,-5.550,-5.973,-6.462,-6.836,-7.255,-7.623,-7.844,-7.935
351,-1.924,-2.064,-2.224,-2.430,-2.633,-2.920,-3.232,-3.586,-4.052,-4.509,-5.070,-5.563,-5.985,-6.474,-6.848,-7.272,-7.618,-7.843,-7.922
352,-1.933,-2.074,-2.234,-2.439,-2.641,-2.929,-3.242,-3.596,-4.062,-4.519,-5.080,-5.573,-5.995,-6.488,-6.866,-7.293,-7.644,-7.853,-7.934
353,-1.928,-2.067,-2.229,-2.434,-2.637,-2.924,-3.238,-3.592,-4.058,-4.516,-5.076,-5.573,-5.994,-6.485,-6.862,-7.284,-7.644,-7.852,-7.921
354,-1.930,-2.071,-2.233,-2.437,-2.641,-2.927,-3.241,-3.595,-4.062,-4.519,-5.080,-5.576,-5.996,-6.487,-6.860,-7.278,-7.624,-7.827,-7.912
355,-1.932,-2.073,-2.234,-2.438,-2.642,-2.929,-3.242,-3.597,-4.064,-4.521,-5.081,-5.577,-5.997,-6.486,-6.859,-7.278,-7.606,-7.814,-7.900
356,-1.933,-2.073,-2.234,-2.438,-2.642,-2.930,-3.243,-3.598,-4.065,-4.521,-5.082,-5.577,-5.997,-6.488,-6.861,-7.278,-7.609,-7.815,-7.908
357,-1.928,-2.069,-2.230,-2.433,-2.638,-2.926,-3.238,-3.594,-4.061,-4.518,-5.079,-5.573,-5.994,-6.485,-6.862,-7.283,-7.614,-7.842,-7.931
358,-1.923,-2.063,-2.225,-2.428,-2.632,-2.921,-3.233,-3.589,-4.057,-4.515,-5.075,-5.570,-5.992,-6.481,-6.857,-7.274,-7.610,-7.851,-7.919
359,-1.922,-2.061,-2.225,-2.427,-2.631,-2.920,-3.233,-3.590,-4.058,-4.515,-5.075,-5.569,-5.991,-6.480,-6.857,-7.276,-7.636,-7.863,-7.944
360,-1.921,-2.060,-2.223,-2.426,-2.630,-2.919,-3.232,-3.590,-4.058,-4.514,-5.074,-5.569,-5.990,-6.475,-6.852,-7.274,-7.624,-7.846,-7.936
361,-1.913,-2.052,-2.216,-2.419,-2.624,-2.912,-3.225,-3.583,-4.051,-4.508,-5.067,-5.563,-5.985,-6.468,-6.842,-7.264,-7.616,-7.841,-7.930
362,-1.905,-2.043,-2.207,-2.411,-2.616,-2.904,-3.217,-3.575,-4.042,-4.500,-5.060,-5.554,-5.975,-6.459,-6.836,-7.259,-7.617,-7.855,-7.952
363,-1.899,-2.036,-2.200,-2.404,-2.609,-2.897,-3.210,-3.568,-4.037,-4.493,-5.053,-5.547,-5.967,-6.454,-6.837,-7.263,-7.636,-7.870,-7.966
364,-1.887,-2.026,-2.189,-2.393,-2.598,-2.885,-3.200,-3.557,-4.027,-4.483,-5.043,-5.537,-5.960,-6.450,-6.834,-7.260,-7.647,-7.884,-7.974
365,-1.873,-2.011,-2.174,-2.379,-2.584,-2.872,-3.186,-3.544,-4.014,-4.470,-5.031,-5.525,-5.950,-6.441,-6.823,-7.252,-7.642,-7.887,-7.982
366,-1.858,-1.996,-2.161,-2.364,-2.570,-2.859,-3.171,-3.530,-4.000,-4.457,-5.017,-5.513,-5.938,-6.430,-6.810,-7.241,-7.627,-7.858,-7.980
367,-1.840,-1.978,-2.144,-2.347,-2.553,-2.841,-3.155,-3.513,-3.982,-4.440,-5.000,-5.499,-5.923,-6.415,-6.796,-7.220,-7.587,-7.820,-7.940
368,-1.833,-1.971,-2.137,-2.341,-2.545,-2.834,-3.150,-3.509,-3.980,-4.438,-4.996,-5.494,-5.918,-6.411,-6.796,-7.222,-7.592,-7.841,-7.930
369,-1.835,-1.971,-2.137,-2.341,-2.546,-2.835,-3.152,-3.512,-3.982,-4.439,-4.997,-5.492,-5.916,-6.408,-6.793,-7.222,-7.590,-7.835,-7.952
370,-1.837,-1.973,-2.138,-2.343,-2.549,-2.838,-3.154,-3.514,-3.985,-4.442,-5.000,-5.495,-5.918,-6.410,-6.792,-7.221,-7.585,-7.843,-7.951
371,-1.856,-1.992,-2.157,-2.362,-2.568,-2.857,-3.173,-3.533,-4.003,-4.460,-5.019,-5.513,-5.935,-6.425,-6.803,-7.220,-7.569,-7.802,-7.893
372,-1.874,-2.009,-2.175,-2.380,-2.586,-2.874,-3.189,-3.550,-4.021,-4.478,-5.036,-5.530,-5.951,-6.441,-6.820,-7.242,-7.596,-7.810,-7.930
373,-1.871,-2.005,-2.171,-2.377,-2.582,-2.870,-3.186,-3.547,-4.018,-4.475,-5.033,-5.527,-5.948,-6.439,-6.817,-7.233,-7.579,-7.813,-7.926
374,-1.870,-2.004,-2.171,-2.376,-2.582,-2.870,-3.185,-3.547,-4.018,-4.475,-5.032,-5.525,-5.945,-6.435,-6.816,-7.241,-7.585,-7.838,-7.918
375,-1.864,-1.998,-2.166,-2.370,-2.576,-2.865,-3.182,-3.544,-4.015,-4.472,-5.029,-5.523,-5.945,-6.439,-6.821,-7.253,-7.604,-7.866,-7.979
376,-1.866,-2.002,-2.170,-2.375,-2.581,-2.869,-3.187,-3.550,-4.022,-4.479,-5.037,-5.531,-5.954,-6.447,-6.827,-7.253,-7.592,-7.861,-7.981
377,-1.864,-2.001,-2.168,-2.373,-2.579,-2.869,-3.186,-3.549,-4.022,-4.479,-5.037,-5.531,-5.953,-6.446,-6.826,-7.253,-7.599,-7.846,-7.955
378,-1.861,-1.998,-2.166,-2.370,-2.576,-2.867,-3.184,-3.546,-4.019,-4.476,-5.034,-5.528,-5.949,-6.438,-6.817,-7.236,-7.569,-7.794,-7.850
379,-1.862,-1.999,-2.166,-2.371,-2.577,-2.867,-3.185,-3.547,-4.020,-4.477,-5.035,-5.531,-5.952,-6.444,-6.824,-7.258,-7.611,-7.858,-7.966
380,-1.858,-1.994,-2.161,-2.366,-2.572,-2.863,-3.180,-3.543,-4.016,-4.474,-5.031,-5.526,-5.947,-6.439,-6.817,-7.246,-7.592,-7.831,-7.937
381,-1.851,-1.986,-2.153,-2.358,-2.564,-2.856,-3.173,-3.536,-4.010,-4.468,-5.023,-5.517,-5.937,-6.431,-6.808,-7.236,-7.585,-7.809,-7.889
382,-1.861,-1.996,-2.163,-2.368,-2.575,-2.866,-3.184,-3.547,-4.021,-4.479,-5.034,-5.527,-5.948,-6.442,-6.816,-7.238,-7.586,-7.794,-7.874
383,-1.873,-2.008,-2.175,-2.380,-2.589,-2.877,-3.196,-3.561,-4.035,-4.493,-5.048,-5.540,-5.959,-6.452,-6.824,-7.247,-7.605,-7.805,-7.856
384,-1.867,-2.002,-2.168,-2.374,-2.582,-2.871,-3.190,-3.555,-4.030,-4.487,-5.043,-5.536,-5.956,-6.448,-6.822,-7.252,-7.611,-7.823,-7.881
385,-1.857,-1.992,-2.159,-2.364,-2.572,-2.861,-3.180,-3.546,-4.020,-4.478,-5.033,-5.526,-5.946,-6.438,-6.817,-7.246,-7.621,-7.835,-7.911
386,-1.850,-1.984,-2.151,-2.356,-2.565,-2.853,-3.172,-3.538,-4.012,-4.470,-5.026,-5.518,-5.938,-6.431,-6.810,-7.244,-7.630,-7.855,-7.958
387,-1.835,-1.967,-2.136,-2.341,-2.549,-2.839,-3.157,-3.524,-3.999,-4.456,-5.012,-5.503,-5.921,-6.414,-6.795,-7.222,-7.608,-7.831,-7.940
388,-1.826,-1.957,-2.128,-2.333,-2.541,-2.832,-3.150,-3.517,-3.993,-4.450,-5.008,-5.500,-5.921,-6.414,-6.798,-7.227,-7.610,-7.852,-7.955
389,-1.822,-1.954,-2.126,-2.331,-2.539,-2.830,-3.148,-3.516,-3.992,-4.449,-5.007,-5.498,-5.920,-6.413,-6.798,-7.224,-7.604,-7.846,-7.954
390,-1.818,-1.951,-2.123,-2.328,-2.535,-2.826,-3.145,-3.513,-3.989,-4.447,-5.004,-5.495,-5.916,-6.408,-6.793,-7.219,-7.604,-7.852,-7.965
391,-1.815,-1.947,-2.118,-2.323,-2.531,-2.822,-3.141,-3.509,-3.985,-4.443,-4.999,-5.491,-5.912,-6.401,-6.785,-7.214,-7.589,-7.838,-7.987
392,-1.814,-1.946,-2.115,-2.321,-2.530,-2.820,-3.140,-3.508,-3.985,-4.442,-4.998,-5.490,-5.911,-6.399,-6.781,-7.207,-7.574,-7.801,-7.953
393,-1.817,-1.949,-2.119,-2.325,-2.534,-2.824,-3.143,-3.512,-3.990,-4.446,-5.003,-5.495,-5.916,-6.402,-6.782,-7.204,-7.560,-7.794,-7.952
394,-1.821,-1.953,-2.124,-2.330,-2.538,-2.829,-3.148,-3.518,-3.996,-4.452,-5.008,-5.499,-5.919,-6.406,-6.787,-7.214,-7.572,-7.806,-7.966
395,-1.813,-1.945,-2.116,-2.322,-2.529,-2.822,-3.141,-3.511,-3.988,-4.446,-5.001,-5.493,-5.911,-6.398,-6.781,-7.207,-7.566,-7.817,-7.982
396,-1.789,-1.921,-2.093,-2.300,-2.507,-2.798,-3.118,-3.488,-3.966,-4.424,-4.980,-5.474,-5.891,-6.376,-6.761,-7.186,-7.547,-7.799,-7.956
