,,,,,,,,,,,,Solar position,Solar position,Solar position,Solar position,Surface Normalised,Surface Normalised,Surface Normalised,Seabed Normalised,Seabed Normalised,Seabed Normalised,Surface,Surface,Surface,Seabed,Seabed,Seabed,Residuals,Residuals,Residuals
,Location_Lat (deg),Location_Long (deg),time_increment (m),depth_to_datum(m),modelled_tidal_range (m),date,Jday (decimal),Kd Blue,Kd Green,Kd Red,Kd Bb,Solar_Alt (deg),binary_day,BB_I_(W/m2),BB_I_Below_tide_(W/m2),Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue
9,50.3819,-4.1927,0.25,0.6566634461766419,[2.21666345],2021-06-01 02:15:00+00:00,152.09375,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,0.5,0.0,0.0,9.528796071490272e-05,0.00020312421909315773,8.493525982771699e-05,0.0001150957290998989,0.00024508944987740766,0.00010498424441813018,0.011390952766091558,0.016479729624428546,0.010571987140365476,0.007712225930185894,0.01491057805966512,0.009149702048478151,0.0036787268359056635,0.0015691515647634248,0.0014222850918873247
10,50.3819,-4.1927,0.25,0.4750988910805267,[2.03509889],2021-06-01 02:30:00+00:00,152.10416666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,0.5,0.0,0.0,0.00017106469073589086,0.00036219541463953153,0.0001533775299241143,0.0002301518459132367,0.0004492841926530738,0.0001973094361944053,0.020449485931897375,0.029385380685351917,0.019091073333593434,0.015421797557679936,0.027333232943638024,0.017196128452778105,0.005027688374217439,0.0020521477417138924,0.0018949448808153295
11,50.3819,-4.1927,0.25,0.31780951166275395,[1.87780951],2021-06-01 02:45:00+00:00,152.11458333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,0.5,0.0,0.0,0.00031319180296335763,0.0006672281889118951,0.00028575605415580226,0.00046263216491942484,0.0008477375429478362,0.00038055012580066855,0.03743970389876029,0.05413308270257152,0.035568376854848614,0.030999619241586257,0.05157405516457362,0.033166122067986116,0.006440084657174036,0.0025590275379979016,0.0024022547868624983
12,50.3819,-4.1927,0.25,0.1880171437207836,[1.74801714],2021-06-01 03:00:00+00:00,152.125,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,0.5,0.0,0.0,0.0006955176680131605,0.001430573243229452,0.0006207390388322964,0.0011097172927188963,0.0018539000499161321,0.0008506055914778228,0.0831438604088102,0.11606425054390458,0.07726408501450578,0.07435888844019564,0.11278625588705789,0.07413291171382248,0.008784971968614552,0.0032779946568466944,0.0031311733006832987
13,50.3819,-4.1927,0.25,0.08831811612950324,[1.64831812],2021-06-01 03:15:00+00:00,152.13541666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,0.5,0.0,0.0,0.001580627699441797,0.002972688698907119,0.0013305597905202897,0.0026757788966851985,0.003911320189868601,0.001863719903077359,0.18895204945131724,0.24117806450798462,0.16561627083264072,0.17929606556076733,0.2379541226134023,0.16242896169314666,0.009655983890549918,0.003223941894582333,0.0031873091394940545
14,50.3819,-4.1927,0.25,0.020818101931352695,[1.5808181],2021-06-01 03:30:00+00:00,152.14583333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,0.75,0.0,0.0,0.003251968837508018,0.0057097393015456445,0.002702006435152315,0.005730308718107798,0.0075902682176213244,0.0038413406057901103,0.38874820225911394,0.46323850664155153,0.33632177429677107,0.3839711154303819,0.4617713524970072,0.33478473083748145,0.004777086828732013,0.001467154144544347,0.001537043459289622
15,50.3819,-4.1927,0.25,0.0,[1.54724041],2021-06-01 03:45:00+00:00,152.15625,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,0.75,0.0,0.0,0.005837481070810008,0.009770657569095505,0.004893985679399516,0.01041422528650431,0.013029936602974038,0.006989538086402842,0.6978265738050459,0.792706038257917,0.6091598915773305,0.6978265738050459,0.792706038257917,0.6091598915773305,0.0,0.0,0.0
16,50.3819,-4.1927,0.25,0.0,[1.54894099],2021-06-01 04:00:00+00:00,152.16666666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,0.75,0.0,0.0,0.008466839789496777,0.014268401764292126,0.0072694558348131285,0.015105072883829144,0.01902803051890192,0.01038215919566893,1.0121464600211414,1.1576138202427393,0.9048373285604503,1.0121464600211414,1.1576138202427393,0.9048373285604503,0.0,0.0,0.0
17,50.3819,-4.1927,0.25,0.02679281810405132,[1.58679282],2021-06-01 04:15:00+00:00,152.17708333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,1.0,0.003775547627085757,0.0037278532268879183,4.099802320689314e-06,4.099802320689314e-06,4.099802320689315e-06,7.198689449240107e-06,5.4451315363499955e-06,5.8208769817854815e-06,0.0004901002627709788,0.0003326222449504077,0.0005103069973564006,0.0004823629848645177,0.00033126704906515423,0.0005073074568414417,7.737277906461146e-06,1.355195885253469e-06,2.9995405149589116e-06
18,50.3819,-4.1927,0.25,0.10094512915919807,[1.66094513],2021-06-01 04:30:00+00:00,152.1875,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,1.0,0.748551157952316,0.7135425962034401,0.0008128388455521584,0.0008128388455521585,0.0008128388455521586,0.0013657401095377687,0.0010674382921816833,0.0011353874307331192,0.09716871708306955,0.06594666289788302,0.10117496361108058,0.09151422358626299,0.06494005346787374,0.09895253100474892,0.005654493496806565,0.0010066094300092837,0.002222432606331662
19,50.3819,-4.1927,0.25,0.2105071871633699,[1.77050719],2021-06-01 04:45:00+00:00,152.19791666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,1.0,6.43930255410648,5.827200902736145,0.006992328044163417,0.006992328044163416,0.006992328044163417,0.011008417238386562,0.009030456475825434,0.009534366834728185,0.835879767795534,0.5672965839700006,0.8703429213504241,0.7376416270190238,0.5493885039301134,0.8309495986008102,0.09823814077651016,0.017908080039887198,0.039393322749613935
20,50.3819,-4.1927,0.25,0.3532405511485559,[1.91324055],2021-06-01 05:00:00+00:00,152.20833333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,1.0,20.909548508194874,17.68288027510532,0.02270531958952719,0.02270531958952719,0.02270531958952719,0.03284081642170256,0.028692603208833434,0.03000256028908224,2.7142486946188566,1.8421118345323562,2.8261566186442306,2.2005664150760538,1.7455802364985664,2.6148160503329576,0.5136822795428029,0.09653159803378975,0.211340568311273
21,50.3819,-4.1927,0.25,0.5253574565395622,[2.08535746],2021-06-01 05:15:00+00:00,152.21875,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,1.0,44.038355049663046,34.3219233158088,0.04782049336014047,0.04782049336014048,0.047820493360140486,0.06244596808109499,0.0588662423551503,0.06084116803711505,5.7165771733360495,3.879738243918949,5.952270492547064,4.184320461209924,3.5812626865606374,5.302496226041893,1.5322567121261255,0.29847555735831177,0.6497742665051707
22,50.3819,-4.1927,0.25,0.7215113951541752,[2.2815114],2021-06-01 05:30:00+00:00,152.22916666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,1.0,74.06162285972717,52.59114918814575,0.08042224420532505,0.08042224420532504,0.08042224420532505,0.09346961003654615,0.09608325223214795,0.09799762089673623,9.613869141630873,6.524760297961762,10.010247019466638,6.2631233656162495,5.845444727835252,8.540796170268067,3.350745776014624,0.6793155701265094,1.4694508491985712
23,50.3819,-4.1927,0.25,0.9350304319544525,[2.49503043],2021-06-01 05:45:00+00:00,152.23958333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,1.0,109.20132284350603,70.07253832821202,0.11857984086979179,0.1185798408697918,0.11857984086979181,0.12140311514488765,0.13713630877312363,0.1378626686655951,14.175320326140643,9.620535282135428,14.759765912588959,8.134865298199573,8.343001454362016,12.015158549642551,6.04045502794107,1.2775338277734125,2.7446073629464074
24,50.3819,-4.1927,0.25,1.1583918496642531,[2.71839185],2021-06-01 06:00:00+00:00,152.25,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,1.0,148.04369661396365,85.44412037061346,0.16075810740330698,0.16075810740330698,0.160758107403307,0.14413777874822833,0.17969385666538093,0.17793634044476983,19.217412089195353,13.042512393494215,20.009742097976652,9.658248168501851,10.932087358275226,15.507703157646947,9.559163920693502,2.1104250352189897,4.5020389403297045
25,50.3819,-4.1927,0.25,1.3838804146252155,[2.94388041],2021-06-01 06:15:00+00:00,152.26041666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,1.0,189.51632689898955,98.28174695445716,0.20579252430957187,0.20579252430957193,0.20579252430957193,0.1613882192456562,0.2222633856218132,0.21675745802330493,24.60093496007058,16.696212664798,25.615226526618187,10.814149395696118,13.521902157670096,18.89108378777122,13.78678556437446,3.1743105071279043,6.724142738846968
26,50.3819,-4.1927,0.25,1.604325578303893,[3.16432558],2021-06-01 06:30:00+00:00,152.27083333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,1.0,232.7983317514682,108.73750402284507,0.25279170998141187,0.2527917099814118,0.25279170998141187,0.17391748911406255,0.2640054537970224,0.2536541118442334,30.219331030425003,20.509317157694625,31.465267929190027,11.653698879600514,16.06137648514376,22.1067414411499,18.56563215082449,4.447940672550864,9.358526488040127
27,50.3819,-4.1927,0.25,1.8137871142875643,[3.37378711],2021-06-01 06:45:00+00:00,152.28125,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,1.0,277.2434332100697,117.24582856122228,0.3010538822808762,0.3010538822808762,0.3010538822808762,0.18289253563073635,0.3045319752752571,0.28847455550566836,35.98870756999651,24.424889383072593,37.4725146951502,12.25509032141881,18.52690024510229,25.141450948883705,23.733617248577694,5.897989137970303,12.331063746266498
28,50.3819,-4.1927,0.25,2.008061198450202,[3.5680612],2021-06-01 07:00:00+00:00,152.29166666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,1.0,322.32570840968646,124.30750921397643,0.35000795060182244,0.35000795060182244,0.3500079506018225,0.18946039665387163,0.34372429025880785,0.32134879804669664,41.840795029610966,28.396596024194505,43.565882535637186,12.695183350800608,20.911254496962254,28.00654300138096,29.145611678810358,7.485341527232251,15.559339534256225
29,50.3819,-4.1927,0.25,2.184910253805199,[3.74491025],2021-06-01 07:15:00+00:00,152.30208333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,1.0,367.603353176966,130.35836783046867,0.39917416738069056,0.39917416738069045,0.3991741673806906,0.19452990307819196,0.38158519318350315,0.35250216982475796,47.71824322782721,32.385514543064915,49.68565673284278,13.034876050127028,23.21460924662792,30.721655837164764,34.68336717770018,9.170905296436995,18.964000895678016
30,50.3819,-4.1927,0.25,2.3439736337239476,[3.90397363],2021-06-01 07:30:00+00:00,152.3125,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,1.0,412.69481349365265,135.70959503752553,0.4481382096625025,0.4481382096625026,0.4481382096625026,0.1987041687643414,0.4181333657430702,0.3821303283409567,53.57152299879202,36.35803038448351,55.780266043435645,13.314581303449373,25.43810103772753,33.303841613428574,40.25694169534265,10.919929346755982,22.47642443000707
31,50.3819,-4.1927,0.25,2.4863805870012015,[4.04638059],2021-06-01 07:45:00+00:00,152.32291666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,1.0,457.2630680797185,140.54070355132862,0.49653411182784285,0.4965341118278428,0.49653411182784285,0.20230728762271136,0.45334409628434297,0.4103367829772812,59.35688592923788,40.28445228619345,61.80415831592856,13.556015689472016,27.580226480238785,35.76212149339231,45.80087023976587,12.704225805954664,26.042036822536254
